user,venue
35443,899
24973,42406
14860,177
222505,177
63524,609
51957,43558
7860,68829
8952,1279
42283,15071
14506,25864
121273,2062
25624,77986
31594,23124
23264,908
58758,4348
7128,34618
93642,12052
47596,12042
59796,14197
60062,381
60486,13519
130096,1302
109481,1342
186359,111
69593,17741
133092,1526
12246,1258
13173,1703
16474,16331
73976,13146
258400,4973
31594,14859
43734,741
10469,713
34461,26057
31106,73888
204573,21
230811,147
47178,17835
44806,13621
159372,1023
57581,25656
139608,7551
17238,9209
224242,1323
32880,39242
27648,12118
241131,1212
34872,12374
210809,1492
180959,2571
188400,1604
51957,43558
80552,43357
9527,933
50620,27966
59122,30863
37005,21639
6528,925
1106,35908
1834,886
51957,43558
39766,1289
24794,209
158442,5272
48083,26191
6998,10324
51939,26289
80487,13015
51946,70246
78151,31748
24436,8713
37459,15692
11418,6894
49161,7913
30955,23209
71476,17032
28102,17546
48997,6956
55316,24535
119448,177
231211,4072
32738,7357
129977,1742
91070,22218
50503,22218
208163,1744
38272,48
264057,1311
43577,1376
210809,3052
59283,1492
74111,655
17374,25751
21501,9953
80552,29816
237785,813
86519,72714
258400,1692
11418,40177
183433,114
28102,14355
204573,21
16049,20969
1319,47569
53523,1783
29211,20445
118847,2182
34323,19897
2033,14327
429,9945
20423,11134
9409,68216
144261,266
56697,33675
36242,18411
22938,11954
20423,4934
30476,985
109481,5214
76657,1596
39957,20497
2228,12903
50631,7097
38456,147
32744,9707
98568,1394
2949,125941
22719,6995
130314,1191
54949,39242
82146,1651
8767,15071
78645,239
39836,15743
170632,3936
32640,4987
69788,349
45720,10841
11067,75007
49029,13912
53523,15071
224175,6232
25624,2538
133970,411
45720,28788
26013,17698
202050,2182
9320,22366
158442,6822
34323,8164
27483,19393
47991,476
96231,11846
23442,13621
186359,1575
133970,1509
59283,16683
126257,1981
204208,1359
51957,43558
178972,6518
48083,59697
25948,28675
52563,19359
178972,5115
49522,11611
13693,1289
147677,2442
44739,10324
139307,245
44226,638
111375,3462
54949,39242
17734,309
59283,31813
1193,12903
59959,5222
850,1031
82252,1602
51445,64971
68370,82441
181644,1258
5159,12741
149253,141
139307,3759
29211,98639
49029,13912
86519,14334
43734,15133
71985,21657
38956,26199
2358,6856
51957,43558
37934,11362
149253,131
11206,11734
1267,24124
17476,639
63432,751
62068,36
748,25753
24672,22218
11367,24355
2228,649
181644,5727
41751,751
116148,7325
238676,172
36661,50168
